permno,date,RET,PRC,SHROUT
10107,199603,0.044965,103.125,595000
10107,199604,0.098182,113.25,595000
10107,199605,0.048565,118.75,595000
10107,199606,0.011579,120.125,597000
10107,199607,-0.01873,117.875,597000
10107,199608,0.039236,122.5,597000
10107,199609,0.076531,131.875,597000
10107,199610,0.040758,137.25,597000
10107,199611,0.142987,156.875,597000
10107,199612,0.053386,82.625,1198000
10107,199701,0.234493,102,1198000
10107,199702,-0.044118,97.5,1198000
10107,199703,-0.059615,91.6875,1191000
10107,199704,0.325153,121.5,1191000
10107,199705,0.020576,124,1191000
10107,199706,0.019153,126.375,1204000
10107,199707,0.119683,141.5,1204000
10107,199708,-0.065813,132.1875,1204000
10107,199709,0.000946,132.3125,1207000
10107,199710,-0.017478,130,1207000
10107,199711,0.088462,141.5,1207000
10107,199712,-0.086572,129.25,1207000
10107,199801,0.154255,149.1875,1207000
10107,199802,0.136154,84.75,2414000
10107,199803,0.056047,89.5,2464072
10107,199804,0.006983,90.125,2464072
10107,199805,-0.058946,84.8125,2464072
10107,199806,0.277819,108.375,2484636
10107,199807,0.014418,109.9375,2484636
10107,199808,-0.127345,95.9375,2484636
10107,199809,0.147231,110.0625,2488000
10107,199810,-0.038047,105.875,2493567
10107,199811,0.152302,122,2493567
10107,199812,0.136783,138.6875,2470000
10107,199901,0.26183,175,2523459
10107,199902,-0.142143,150.125,2523459
10107,199903,0.194005,89.625,5046918
10107,199904,-0.092748,81.3125,5046918
10107,199905,-0.007686,80.6875,5046918
10107,199906,0.117738,90.1875,5141508
10107,199907,-0.04851,85.8125,5141508
10107,199908,0.07866,92.5625,5141508
10107,199909,-0.021607,90.5625,5160025
10107,199910,0.022084,92.5625,5160025
10107,199911,-0.016374,91.04688,5160025
10107,199912,0.282306,116.75,5160025
10107,200001,-0.16167,97.875,5160025
10107,200002,-0.086845,89.375,5160025
10107,200003,0.188811,106.25,5242000
10107,200004,-0.343529,69.75,5262405
10107,200005,-0.103047,62.5625,5262405
10107,200006,0.278721,80,5262405
10107,200007,-0.127344,69.8125,5262405
10107,200008,0,69.8125,5262405
10107,200009,-0.136079,60.3125,5332338
10107,200010,0.141969,68.875,5332338
10107,200011,-0.166969,57.375,5332338
10107,200012,-0.244009,43.375,5332338
10107,200101,0.407781,61.0625,5335391
10107,200102,-0.033777,59,5335391
10107,200103,-0.073093,54.6875,5336000
10107,200104,0.238857,67.75,5382102
10107,200105,0.021107,69.18,5382102
10107,200106,0.055218,73,5383000
10107,200107,-0.093288,66.19,5383000
10107,200108,-0.138087,57.05,5383000
10107,200109,-0.103068,51.17,5386000
10107,200110,0.136408,58.15,5386000
10107,200111,0.104213,64.21,5386000
10107,200112,0.031771,66.25,5403000
10107,200201,-0.03834,63.71,5415222
10107,200202,-0.084288,58.34,5416007
10107,200203,0.033768,60.31,5415463
10107,200204,-0.133477,52.26,5415463
10107,200205,-0.025832,50.91,5415463
10107,200206,0.074445,54.7,5359000
10107,200207,-0.122852,47.98,5378747
10107,200208,0.022926,49.08,5378747
10107,200209,-0.108802,43.74,5346450
10107,200210,0.222451,53.47,5346450
10107,200211,0.078736,57.68,5346450
10107,200212,-0.103675,51.7,5350693
10107,200301,-0.082012,47.46,5350693
10107,200302,0.002107,23.7,10701386
10107,200303,0.021519,24.21,10722000
10107,200304,0.055762,25.56,10736261
10107,200305,-0.037167,24.61,10736261
10107,200306,0.041853,25.64,10718000
10107,200307,0.030031,26.41,10718000
10107,200308,0.004165,26.52,10813985
10107,200309,0.048265,27.8,10805000
10107,200310,-0.053957,26.14,10812469
10107,200311,-0.01645,25.71,10812469
10107,200312,0.064566,27.37,10789000
10107,200401,0.01023,27.65,10794393
10107,200402,-0.040506,26.53,10794393
10107,200403,-0.060309,24.93,10777000
10107,200404,0.048135,26.13,10794693
10107,200405,0.003827,26.23,10794693
10107,200406,0.08883,28.56,10862000
10107,200407,-0.002451,28.49,10862000
10107,200408,-0.038961,27.3,10872705
10107,200409,0.012821,27.65,10865000
10107,200410,0.011573,27.97,10871590
10107,200411,0.068645,26.81,10872705
10107,200412,-0.003357,26.72,10880222
10107,200501,-0.016467,26.28,10880222
10107,200502,-0.039574,25.16,10880222
